Time (day),Cell Density (cells/um^2),Coverage
1.0,0.002516,45.4%
2.0,0.002968,57.1%
3.0,0.003321,67.37%
4.0,0.00357,75.37%
5.0,0.003736,81.04%
6.0,0.003841,84.8%
7.0,0.003905,87.17%
8.0,0.003944,88.63%
9.0,0.003967,89.51%
10.0,0.00398,90.04%
11.0,0.003988,90.35%
12.0,0.003993,90.53%
13.0,0.003996,90.64%
14.0,0.003998,90.7%
15.0,0.003999,90.74%
16.0,0.003999,90.76%
17.0,0.004,90.77%
18.0,0.004,90.78%
19.0,0.004,90.79%
20.0,0.004,90.79%
21.0,0.004,90.79%
22.0,0.004,90.79%
23.0,0.004,90.79%
24.0,0.004,90.79%

