Position (m),GS Temperature (C)
0.0000,0.000
0.0256,4.553
0.0513,9.106
0.0769,13.660
0.1026,18.213
0.1282,22.766
0.1538,27.319
0.1795,31.544
0.2051,35.440
0.2308,39.007
0.2564,42.245
0.2821,45.155
0.3077,47.736
0.3333,49.988
0.3590,51.911
0.3846,53.835
0.4103,55.758
0.4359,57.682
0.4615,59.605
0.4872,61.528
0.5128,63.452
0.5385,65.376
0.5641,67.299
0.5897,69.223
0.6154,71.146
0.6410,73.070
0.6667,74.993
0.6923,76.917
0.7179,78.840
0.7436,80.764
0.7692,82.688
0.7949,84.611
0.8205,86.535
0.8462,88.458
0.8718,90.382
0.8974,92.306
0.9231,94.229
0.9487,96.153
0.9744,98.076
1.0000,100.000

Iterations,Max Error
1,50
2,25
3,12.5
4,9.375
5,7.031
6,5.469
7,4.688
8,4.028
9,3.491
10,3.055
11,2.777
12,2.529
13,2.311
14,2.118
15,1.949
16,1.828
17,1.715
18,1.612
19,1.518
20,1.432
21,1.353
22,1.292
23,1.235
24,1.181
25,1.13
26,1.082
27,1.038
28,0.9974
29,0.9637
30,0.9314
31,0.9007
32,0.8715
33,0.8436
34,0.8171
35,0.7918
36,0.7699
37,0.7499
38,0.7305
39,0.7119
40,0.694
41,0.6767
42,0.6601
43,0.6442
44,0.6298
45,0.6168
46,0.6042
47,0.5919
48,0.58
49,0.5684
50,0.5572
51,0.5463
52,0.5358
53,0.5266
54,0.5178
55,0.5092
56,0.5008
57,0.4926
58,0.4846
59,0.4768
60,0.4692
61,0.4617
62,0.455
63,0.4487
64,0.4425
65,0.4364
66,0.4304
67,0.4246
68,0.4188
69,0.4132
70,0.4077
71,0.4023
72,0.3974
73,0.3928
74,0.3881
75,0.3836
76,0.3791
77,0.3748
78,0.3704
79,0.3662
80,0.362
81,0.3579
82,0.3539
83,0.3502
84,0.3467
85,0.3431
86,0.3397
87,0.3362
88,0.3329
89,0.3295
90,0.3262
91,0.323
92,0.3198
93,0.3166
94,0.3135
95,0.3107
96,0.3079
97,0.3051
98,0.3024
99,0.2997
100,0.297
101,0.2944
102,0.2918
103,0.2892
104,0.2867
105,0.2842
106,0.2817
107,0.2792
108,0.2769
109,0.2746
110,0.2724
111,0.2702
112,0.268
113,0.2659
114,0.2638
115,0.2617
116,0.2596
117,0.2575
118,0.2555
119,0.2535
120,0.2514
121,0.2495
122,0.2475
123,0.2456
124,0.2437
125,0.2419
126,0.2401
127,0.2383
128,0.2366
129,0.2349
130,0.2331
131,0.2314
132,0.2297
133,0.2281
134,0.2264
135,0.2248
136,0.2231
137,0.2215
138,0.2199
139,0.2183
140,0.2167
141,0.2152
142,0.2136
143,0.2121
144,0.2106
145,0.2091
146,0.2077
147,0.2063
148,0.2049
149,0.2035
150,0.2021
151,0.2007
152,0.1993
153,0.198
154,0.1966
155,0.1953
156,0.194
157,0.1926
158,0.1913
159,0.19
160,0.1887
161,0.1875
162,0.1862
163,0.1849
164,0.1837
165,0.1824
166,0.1812
167,0.18
168,0.1788
169,0.1775
170,0.1763
171,0.1752
172,0.174
173,0.1728
174,0.1717
175,0.1706
176,0.1695
177,0.1684
178,0.1673
179,0.1662
180,0.1651
181,0.164
182,0.1629
183,0.1619
184,0.1608
185,0.1597
186,0.1587
187,0.1577
188,0.1566
189,0.1556
190,0.1546
191,0.1536
192,0.1526
193,0.1516
194,0.1506
195,0.1496
196,0.1486
197,0.1477
198,0.1467
199,0.1457
200,0.1448
201,0.1438
202,0.1429
203,0.142
204,0.1411
205,0.1401
206,0.1392
207,0.1383
208,0.1374
209,0.1365
210,0.1356
211,0.1347
212,0.1339
213,0.133
214,0.1321
215,0.1313
216,0.1304
217,0.1296
218,0.1287
219,0.1279
220,0.127
221,0.1262
222,0.1254
223,0.1246
224,0.1238
225,0.123
226,0.1222
227,0.1214
228,0.1206
229,0.1198
230,0.119
231,0.1182
232,0.1175
233,0.1167
234,0.116
235,0.1152
236,0.1145
237,0.1137
238,0.113
239,0.1123
240,0.1116
241,0.1108
242,0.1101
243,0.1094
244,0.1087
245,0.108
246,0.1073
247,0.1066
248,0.1059
249,0.1053
250,0.1046
251,0.1039
252,0.1032
253,0.1026
254,0.1019
255,0.1012
256,0.1006
257,0.09994
258,0.09929
259,0.09865
260,0.09801
261,0.09738
262,0.09675
263,0.09613
264,0.09551
265,0.09489
266,0.09428
267,0.09367
268,0.09306
269,0.09246
270,0.09186
271,0.09127
272,0.09068
273,0.0901
274,0.08951
275,0.08894
276,0.08836
277,0.08779
278,0.08722
279,0.08666
280,0.0861
281,0.08554
282,0.08499
283,0.08444
284,0.08389
285,0.08335
286,0.08281
287,0.08228
288,0.08175
289,0.08122
290,0.08069
291,0.08017
292,0.07965
293,0.07914
294,0.07863
295,0.07812
296,0.07761
297,0.07711
298,0.07661
299,0.07612
300,0.07562
301,0.07513
302,0.07465
303,0.07417
304,0.07369
305,0.07321
306,0.07274
307,0.07227
308,0.0718
309,0.07133
310,0.07087
311,0.07041
312,0.06996
313,0.06951
314,0.06906
315,0.06861
316,0.06817
317,0.06773
318,0.06729
319,0.06685
320,0.06642
321,0.06599
322,0.06556
323,0.06514
324,0.06472
325,0.0643
326,0.06388
327,0.06347
328,0.06306
329,0.06265
330,0.06225
331,0.06184
332,0.06144
333,0.06104
334,0.06065
335,0.06026
336,0.05987
337,0.05948
338,0.05909
339,0.05871
340,0.05833
341,0.05796
342,0.05758
343,0.05721
344,0.05684
345,0.05647
346,0.0561
347,0.05574
348,0.05538
349,0.05502
350,0.05467
351,0.05431
352,0.05396
353,0.05361
354,0.05326
355,0.05292
356,0.05258
357,0.05224
358,0.0519
359,0.05156
360,0.05123
361,0.0509
362,0.05057
363,0.05024
364,0.04992
365,0.04959
366,0.04927
367,0.04895
368,0.04864
369,0.04832
370,0.04801
371,0.0477
372,0.04739
373,0.04708
374,0.04678
375,0.04647
376,0.04617
377,0.04587
378,0.04558
379,0.04528
380,0.04499
381,0.0447
382,0.04441
383,0.04412
384,0.04384
385,0.04355
386,0.04327
387,0.04299
388,0.04271
389,0.04244
390,0.04216
391,0.04189
392,0.04162
393,0.04135
394,0.04108
395,0.04081
396,0.04055
397,0.04029
398,0.04003
399,0.03977
400,0.03951
401,0.03925
402,0.039
403,0.03875
404,0.0385
405,0.03825
406,0.038
407,0.03775
408,0.03751
409,0.03727
410,0.03702
411,0.03679
412,0.03655
413,0.03631
414,0.03608
415,0.03584
416,0.03561
417,0.03538
418,0.03515
419,0.03492
420,0.0347
421,0.03447
422,0.03425
423,0.03403
424,0.03381
425,0.03359
426,0.03337
427,0.03315
428,0.03294
429,0.03273
430,0.03251
431,0.0323
432,0.03209
433,0.03189
434,0.03168
435,0.03148
436,0.03127
437,0.03107
438,0.03087
439,0.03067
440,0.03047
441,0.03027
442,0.03008
443,0.02988
444,0.02969
445,0.0295
446,0.02931
447,0.02912
448,0.02893
